cidx,country,startIDX,endIDX,startDate,endDate,mean,sd,meanAndsd,count,max

WIGHT&THRESHOLD&0.2&0.2
98,,97,443,2020-05-01,2021-04-12,0.2351332120940429,0.29955433869813974,0.2351332120940429&&&0.29955433869813974,345,4.020063037164734
153,,97,443,2020-05-01,2021-04-12,0.22003822001886256,0.1701647644149304,0.22003822001886256&&&0.1701647644149304,337,0.941895942666368
77,,97,443,2020-05-01,2021-04-12,0.19773119857112972,0.17030216754714642,0.19773119857112972&&&0.17030216754714642,324,0.9395965821149882
56,,97,443,2020-05-01,2021-04-12,0.21753232508671055,0.23220116727804405,0.21753232508671055&&&0.23220116727804405,276,1.4266635003265165
73,,97,443,2020-05-01,2021-04-12,0.12804185244461486,0.1410278284917619,0.12804185244461486&&&0.1410278284917619,347,0.7795943698312182
138,,97,443,2020-05-01,2021-04-12,0.3249267075569119,0.25942239684019813,0.3249267075569119&&&0.25942239684019813,311,1.4414743212114085
124,,97,443,2020-05-01,2021-04-12,0.12681131838972695,0.13100916373499238,0.12681131838972695&&&0.13100916373499238,347,0.7266353509851552

WIGHT&THRESHOLD&0.2&0.4
155,,97,443,2020-05-01,2021-04-12,0.15188937759663412,0.1331836937441985,0.15188937759663412&&&0.1331836937441985,347,0.9329066197538026
21,,97,443,2020-05-01,2021-04-12,0.21339074983256873,0.19253884474656532,0.21339074983256873&&&0.19253884474656532,347,0.9879847486519707
71,,97,443,2020-05-01,2021-04-12,0.15649056485673643,0.14923151040106297,0.15649056485673643&&&0.14923151040106297,347,0.8801381268566258
98,,97,443,2020-05-01,2021-04-12,0.23403109437835945,0.30018454122481736,0.23403109437835945&&&0.30018454122481736,345,4.020063037164734
153,,97,443,2020-05-01,2021-04-12,0.21607224768226826,0.16385043808084532,0.21607224768226826&&&0.16385043808084532,337,0.941895942666368
77,,97,443,2020-05-01,2021-04-12,0.20534086929260115,0.18339950918613818,0.20534086929260115&&&0.18339950918613818,324,0.9395965821149882
56,,97,443,2020-05-01,2021-04-12,0.2184724794040795,0.23356218049292074,0.2184724794040795&&&0.23356218049292074,276,1.4266635003265165
73,,97,443,2020-05-01,2021-04-12,0.12804185244461486,0.1410278284917619,0.12804185244461486&&&0.1410278284917619,347,0.7795943698312182
138,,97,443,2020-05-01,2021-04-12,0.32826378142813245,0.26979463105197027,0.32826378142813245&&&0.26979463105197027,311,1.4521522291754203
124,,97,443,2020-05-01,2021-04-12,0.12681131838972695,0.13100916373499238,0.12681131838972695&&&0.13100916373499238,347,0.7266353509851552

WIGHT&THRESHOLD&0.2&0.5
155,,97,443,2020-05-01,2021-04-12,0.1499860500797578,0.1268255642444254,0.1499860500797578&&&0.1268255642444254,347,0.9329066197538026
21,,97,443,2020-05-01,2021-04-12,0.21537416118023256,0.19449044251600475,0.21537416118023256&&&0.19449044251600475,347,0.9879847486519707
71,,97,443,2020-05-01,2021-04-12,0.15646676405231474,0.14922788799648473,0.15646676405231474&&&0.14922788799648473,347,0.8801381268566258
98,,97,443,2020-05-01,2021-04-12,0.2339205866062954,0.3002023510719362,0.2339205866062954&&&0.3002023510719362,345,4.020063037164734
153,,97,443,2020-05-01,2021-04-12,0.21488177827763097,0.1643721502643635,0.21488177827763097&&&0.1643721502643635,337,0.941895942666368
77,,97,443,2020-05-01,2021-04-12,0.20331462274927875,0.1816571323541535,0.20331462274927875&&&0.1816571323541535,325,0.9395965821149882
56,,97,443,2020-05-01,2021-04-12,0.2172481153663022,0.23302624362925073,0.2172481153663022&&&0.23302624362925073,277,1.4266635003265165
73,,97,443,2020-05-01,2021-04-12,0.12804185244461486,0.1410278284917619,0.12804185244461486&&&0.1410278284917619,347,0.7795943698312182
138,,97,443,2020-05-01,2021-04-12,0.33233021818902525,0.27637234803997146,0.33233021818902525&&&0.27637234803997146,311,1.4521522291754203
124,,97,443,2020-05-01,2021-04-12,0.12681131838972695,0.13100916373499238,0.12681131838972695&&&0.13100916373499238,347,0.7266353509851552

WIGHT&THRESHOLD&0.2&0.6
155,,97,443,2020-05-01,2021-04-12,0.1499860500797578,0.1268255642444254,0.1499860500797578&&&0.1268255642444254,347,0.9329066197538026
21,,97,443,2020-05-01,2021-04-12,0.21665549635865103,0.19782192103338633,0.21665549635865103&&&0.19782192103338633,347,0.9879847486519707
71,,97,443,2020-05-01,2021-04-12,0.15646676405231474,0.14922788799648473,0.15646676405231474&&&0.14922788799648473,347,0.8801381268566258
98,,97,443,2020-05-01,2021-04-12,0.2351514201346432,0.3041487674915034,0.2351514201346432&&&0.3041487674915034,345,4.020063037164734
153,,97,443,2020-05-01,2021-04-12,0.21469896048711792,0.16446199212605608,0.21469896048711792&&&0.16446199212605608,337,0.941895942666368
77,,97,443,2020-05-01,2021-04-12,0.20377266167482716,0.18136474554466075,0.20377266167482716&&&0.18136474554466075,325,0.9395965821149882
56,,97,443,2020-05-01,2021-04-12,0.21974703205048396,0.23520277456381164,0.21974703205048396&&&0.23520277456381164,277,1.4266635003265165
73,,97,443,2020-05-01,2021-04-12,0.12804185244461486,0.1410278284917619,0.12804185244461486&&&0.1410278284917619,347,0.7795943698312182
138,,97,443,2020-05-01,2021-04-12,0.3327161758839882,0.28029911149668635,0.3327161758839882&&&0.28029911149668635,311,1.4521522291754203
