location_name,date,deaths,lower,upper,model_date,model
US,2020-03-09,22,22,22,2020-08-09,lanl
Uzbekistan,2020-03-09,0,0,0,2020-08-09,lanl
Venezuela,2020-03-09,0,0,0,2020-08-09,lanl
West Bank and Gaza,2020-03-09,0,0,0,2020-08-09,lanl
Yemen,2020-03-09,0,0,0,2020-08-09,lanl
Zambia,2020-03-09,0,0,0,2020-08-09,lanl
Zimbabwe,2020-03-09,0,0,0,2020-08-09,lanl
Afghanistan,2020-03-10,0,0,0,2020-08-09,lanl
Albania,2020-03-10,0,0,0,2020-08-09,lanl
Algeria,2020-03-10,0,0,0,2020-08-09,lanl
Andorra,2020-03-10,0,0,0,2020-08-09,lanl
Angola,2020-03-10,0,0,0,2020-08-09,lanl
Argentina,2020-03-10,1,1,1,2020-08-09,lanl
Armenia,2020-03-10,0,0,0,2020-08-09,lanl
Australia,2020-03-10,3,3,3,2020-08-09,lanl
Austria,2020-03-10,0,0,0,2020-08-09,lanl
Azerbaijan,2020-03-10,0,0,0,2020-08-09,lanl
Bahrain,2020-03-10,0,0,0,2020-08-09,lanl
Bangladesh,2020-03-10,0,0,0,2020-08-09,lanl
Belarus,2020-03-10,0,0,0,2020-08-09,lanl
Belgium,2020-03-10,0,0,0,2020-08-09,lanl
Benin,2020-03-10,0,0,0,2020-08-09,lanl
Bolivia,2020-03-10,0,0,0,2020-08-09,lanl
Bosnia and Herzegovina,2020-03-10,0,0,0,2020-08-09,lanl
Brazil,2020-03-10,0,0,0,2020-08-09,lanl
Bulgaria,2020-03-10,0,0,0,2020-08-09,lanl
Burkina Faso,2020-03-10,0,0,0,2020-08-09,lanl
Cabo Verde,2020-03-10,0,0,0,2020-08-09,lanl
Cameroon,2020-03-10,0,0,0,2020-08-09,lanl
Canada,2020-03-10,1,1,1,2020-08-09,lanl
Central African Republic,2020-03-10,0,0,0,2020-08-09,lanl
Chad,2020-03-10,0,0,0,2020-08-09,lanl
Chile,2020-03-10,0,0,0,2020-08-09,lanl
China,2020-03-10,3139,3139,3139,2020-08-09,lanl
Colombia,2020-03-10,0,0,0,2020-08-09,lanl
