,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
2680,7,2021/3/12,0,1731558.0,1739360.0,1746953.0,1754933.0,1763313.0,1771115.0,1778645.0,1786265.0,1793805.0,1801065.0,1808422.0,1815712.0,1823317.0,1830823.0,1838803.0,1731830.411623582,1740175.1612253247,1748499.6375649115,1756798.9387004585,1765067.8674503835,1773300.9291138498,1781492.331848611,1789635.9901228815,1797725.5316672986,1805754.3083517845,1813715.4113974925,1821601.6913036515,1829405.7828206103,1837120.135231668,1844737.048116016
2681,7,2021/3/13,0,1739360.0,1746953.0,1754933.0,1763313.0,1771115.0,1778645.0,1786265.0,1793805.0,1801065.0,1808422.0,1815712.0,1823317.0,1830823.0,1838803.0,1846923.0,1739834.8151130097,1748083.8697275952,1756299.629479146,1764476.2373348062,1772607.5147495903,1780686.966489135,1788707.7896284764,1796662.887230839,1804544.887187207,1812346.166653223,1820058.882451809,1827675.0077152809,1835186.374918198,1842584.7253016368,1849861.7645120288
2682,7,2021/3/14,0,1746953.0,1754933.0,1763313.0,1771115.0,1778645.0,1786265.0,1793805.0,1801065.0,1808422.0,1815712.0,1823317.0,1830823.0,1838803.0,1846923.0,1855674.0,1747373.0178290268,1755301.1504378205,1763132.194976301,1770853.3132536842,1778451.112252024,1785911.750819879,1793221.0738835435,1800364.774405825,1807328.581918114,1814098.4747959047,1820660.911629741,1827003.0751953805,1833113.1208198091,1838980.4195676416,1844595.7858292684
2683,7,2021/3/15,0,1754933.0,1763313.0,1771115.0,1778645.0,1786265.0,1793805.0,1801065.0,1808422.0,1815712.0,1823317.0,1830823.0,1838803.0,1846923.0,1855674.0,1864984.0,1756067.0587088163,1765228.6665309437,1774438.0715356842,1783695.5230865462,1793001.2718479962,1802355.5697922471,1811758.67020608,1821210.827697703,1830712.2982036448,1840263.338995685,1849864.2086878216,1859515.1672432704,1869216.4759815063,1878968.397585339,1888771.196108024
2684,7,2021/3/16,0,1763313.0,1771115.0,1778645.0,1786265.0,1793805.0,1801065.0,1808422.0,1815712.0,1823317.0,1830823.0,1838803.0,1846923.0,1855674.0,1864984.0,1875234.0,1764088.6913048257,1773292.1489250986,1782543.6220632908,1791843.361221991,1801191.6182106894,1810588.646152596,1820034.6994914948,1829530.033998632,1839074.9067796415,1848669.5762815103,1858314.302299572,1868009.3459845416,1877754.9698495904,1887551.4377774503,1897399.0150275603
2685,7,2021/3/17,0,1771115.0,1778645.0,1786265.0,1793805.0,1801065.0,1808422.0,1815712.0,1823317.0,1830823.0,1838803.0,1846923.0,1855674.0,1864984.0,1875234.0,1885564.0,1772512.4107477523,1781759.8159004145,1791055.4658504266,1800399.612296556,1809792.5082507108,1819234.4080447927,1828725.5673375824,1838266.2431216624,1847856.693730376,1857497.1788448212,1867187.959500884,1876929.2980963031,1886721.4583977796,1896564.705548114,1906459.30607339
2686,7,2021/3/18,0,1778645.0,1786265.0,1793805.0,1801065.0,1808422.0,1815712.0,1823317.0,1830823.0,1838803.0,1846923.0,1855674.0,1864984.0,1875234.0,1885564.0,1897314.0,1780355.1146968822,1789643.4361559525,1798980.2158775425,1808365.706674092,1817800.1626769928,1827283.8393434696,1836816.9934634976,1846399.883166756,1856032.767929615,1865715.9085821656,1875449.5673152783,1885234.0076877065,1895069.4946332169,1904956.2944677696,1914894.6748967257
2687,7,2021/3/19,0,1786265.0,1793805.0,1801065.0,1808422.0,1815712.0,1823317.0,1830823.0,1838803.0,1846923.0,1855674.0,1864984.0,1875234.0,1885564.0,1897314.0,1908974.0,1787924.399590108,1797252.2108963009,1806628.6864881776,1816054.0802530264,1825528.6474026917,1835052.6444804904,1844626.329368156,1854249.96129282,1863923.8008340327,1873648.10993082,1883423.151888772,1893249.191387176,1903126.494486183,1913055.3286340097,1923035.9626741824
2688,7,2021/3/20,0,1793805.0,1801065.0,1808422.0,1815712.0,1823317.0,1830823.0,1838803.0,1846923.0,1855674.0,1864984.0,1875234.0,1885564.0,1897314.0,1908974.0,1920394.0,1795584.154023894,1804951.9271674145,1814368.5730822117,1823834.346743266,1833349.5044557927,1842914.3038621803,1852529.0039489688,1862193.86505386,1871909.14887277,1881675.118466912,1891492.03826992,1901360.1740950097,1911279.7931421765,1921251.164005428,1931274.556680059
2689,7,2021/3/21,0,1801065.0,1808422.0,1815712.0,1823317.0,1830823.0,1838803.0,1846923.0,1855674.0,1864984.0,1875234.0,1885564.0,1897314.0,1908974.0,1920394.0,1932074.0,1803163.491088292,1812570.8065222907,1822027.2010243344,1831532.9306456773,1841088.252773424,1850693.4261374965,1860348.7108176425,1870054.368250476,1879810.6612365555,1889617.8539475023,1899476.211933151,1909386.0021287408,1919347.4928621445,1929360.9538611309,1939426.656260672
