,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
26,0,2020/6/4,0,1879150,1904550,1925710,1943626,1961263,1979647,2000757,2023890,2048756,2073964,2092912,2112731,2136401,2163465,2191991,1878034.0,1898600.0,1919044.0,1939363.0,1959551.0,1979596.0,1999510.0,2019282.0,2038922.0,2058442.0,2077853.0,2097155.0,2116342.0,2135394.0,2154286.0
27,0,2020/6/5,0,1904550,1925710,1943626,1961263,1979647,2000757,2023890,2048756,2073964,2092912,2112731,2136401,2163465,2191991,2223553,1899326.0,1919852.0,1940258.0,1960540.0,1980684.0,2000703.0,2020588.0,2040348.0,2059994.0,2079536.0,2098974.0,2118300.0,2137497.0,2156540.0,2175398.0
28,0,2020/6/6,0,1925710,1943626,1961263,1979647,2000757,2023890,2048756,2073964,2092912,2112731,2136401,2163465,2191991,2223553,2255823,1924685.0,1945360.0,1965927.0,1986376.0,2006720.0,2026951.0,2047080.0,2067119.0,2087058.0,2106894.0,2126620.0,2146214.0,2165654.0,2184904.0,2203961.0
29,0,2020/6/7,0,1943626,1961263,1979647,2000757,2023890,2048756,2073964,2092912,2112731,2136401,2163465,2191991,2223553,2255823,2280971,1947419.0,1968099.0,1988667.0,2009139.0,2029506.0,2049779.0,2069973.0,2090076.0,2110079.0,2129973.0,2149739.0,2169353.0,2188783.0,2208024.0,2227086.0
30,0,2020/6/8,0,1961263,1979647,2000757,2023890,2048756,2073964,2092912,2112731,2136401,2163465,2191991,2223553,2255823,2280971,2313123,1964887.0,1985282.0,2005568.0,2025737.0,2045801.0,2065770.0,2085635.0,2105384.0,2125024.0,2144538.0,2163906.0,2183100.0,2202117.0,2220970.0,2239676.0
31,0,2020/6/9,0,1979647,2000757,2023890,2048756,2073964,2092912,2112731,2136401,2163465,2191991,2223553,2255823,2280971,2313123,2350198,1982019.0,2002134.0,2022121.0,2041989.0,2061751.0,2081395.0,2100909.0,2120298.0,2139563.0,2158686.0,2177642.0,2196431.0,2215065.0,2233562.0,2251911.0
32,0,2020/6/10,0,2000757,2023890,2048756,2073964,2092912,2112731,2136401,2163465,2191991,2223553,2255823,2280971,2313123,2350198,2386074,2000059.0,2020089.0,2039962.0,2059677.0,2079258.0,2098745.0,2118121.0,2137324.0,2156370.0,2175254.0,2193975.0,2212534.0,2230927.0,2249145.0,2267180.0
33,0,2020/6/11,0,2023890,2048756,2073964,2092912,2112731,2136401,2163465,2191991,2223553,2255823,2280971,2313123,2350198,2386074,2426391,2020644.0,2040461.0,2060168.0,2079754.0,2099204.0,2118527.0,2137722.0,2156783.0,2175690.0,2194444.0,2213054.0,2231536.0,2249881.0,2268058.0,2286060.0
34,0,2020/6/12,0,2048756,2073964,2092912,2112731,2136401,2163465,2191991,2223553,2255823,2280971,2313123,2350198,2386074,2426391,2472385,2044307.0,2064885.0,2085418.0,2105944.0,2126456.0,2146908.0,2167297.0,2187599.0,2207822.0,2227965.0,2248025.0,2267991.0,2287851.0,2307600.0,2327231.0
35,0,2020/6/13,0,2073964,2092912,2112731,2136401,2163465,2191991,2223553,2255823,2280971,2313123,2350198,2386074,2426391,2472385,2513731,2070261.0,2091540.0,2112864.0,2134227.0,2155590.0,2176950.0,2198286.0,2219597.0,2240880.0,2262131.0,2283339.0,2304493.0,2325586.0,2346608.0,2367554.0
